Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version
ENSG00000279788,ENSG00000279788.1,ENST00000624266,ENST00000624266.1
ENSG00000278878,ENSG00000278878.1,ENST00000623225,ENST00000623225.1
ENSG00000278878,ENSG00000278878.1,ENST00000624181,ENST00000624181.1
ENSG00000280346,ENSG00000280346.1,ENST00000624353,ENST00000624353.1
ENSG00000286057,ENSG00000286057.1,ENST00000652328,ENST00000652328.1
ENSG00000286146,ENSG00000286146.1,ENST00000652246,ENST00000652246.1
ENSG00000278678,ENSG00000278678.1,ENST00000616920,ENST00000616920.1
ENSG00000279647,ENSG00000279647.1,ENST00000624595,ENST00000624595.1
ENSG00000280372,ENSG00000280372.1,ENST00000624662,ENST00000624662.1
ENSG00000232797,ENSG00000232797.1,ENST00000443486,ENST00000443486.1
ENSG00000179381,ENSG00000179381.8,ENST00000431829,ENST00000431829.2
ENSG00000273692,ENSG00000273692.1,ENST00000619798,ENST00000619798.1
ENSG00000278931,ENSG00000278931.1,ENST00000624291,ENST00000624291.1
ENSG00000286148,ENSG00000286148.1,ENST00000651888,ENST00000651888.1
ENSG00000231201,ENSG00000231201.1,ENST00000436429,ENST00000436429.1
ENSG00000280436,ENSG00000280436.1,ENST00000623201,ENST00000623201.1
ENSG00000279720,ENSG00000279720.1,ENST00000624968,ENST00000624968.1
ENSG00000279477,ENSG00000279477.1,ENST00000623518,ENST00000623518.1
ENSG00000279303,ENSG00000279303.1,ENST00000623962,ENST00000623962.1
ENSG00000280145,ENSG00000280145.3,ENST00000623047,ENST00000623047.1
ENSG00000280145,ENSG00000280145.3,ENST00000623106,ENST00000623106.3
ENSG00000280145,ENSG00000280145.3,ENST00000625185,ENST00000625185.3
ENSG00000280145,ENSG00000280145.3,ENST00000624846,ENST00000624846.3
ENSG00000280145,ENSG00000280145.3,ENST00000623313,ENST00000623313.1
ENSG00000280145,ENSG00000280145.3,ENST00000623950,ENST00000623950.1
ENSG00000280145,ENSG00000280145.3,ENST00000624965,ENST00000624965.1
ENSG00000280145,ENSG00000280145.3,ENST00000623324,ENST00000623324.1
ENSG00000280019,ENSG00000280019.1,ENST00000624484,ENST00000624484.1
ENSG00000280432,ENSG00000280432.1,ENST00000624971,ENST00000624971.1
ENSG00000270139,ENSG00000270139.1,ENST00000602454,ENST00000602454.1
ENSG00000229425,ENSG00000229425.3,ENST00000664748,ENST00000664748.1
ENSG00000229425,ENSG00000229425.3,ENST00000658863,ENST00000658863.1
ENSG00000229425,ENSG00000229425.3,ENST00000666351,ENST00000666351.1
ENSG00000229425,ENSG00000229425.3,ENST00000656127,ENST00000656127.1
ENSG00000229425,ENSG00000229425.3,ENST00000634642,ENST00000634642.1
ENSG00000229425,ENSG00000229425.3,ENST00000634644,ENST00000634644.1
ENSG00000229425,ENSG00000229425.3,ENST00000634708,ENST00000634708.1
ENSG00000229425,ENSG00000229425.3,ENST00000635621,ENST00000635621.1
ENSG00000229425,ENSG00000229425.3,ENST00000635225,ENST00000635225.1
ENSG00000229425,ENSG00000229425.3,ENST00000449602,ENST00000449602.2
ENSG00000229425,ENSG00000229425.3,ENST00000654045,ENST00000654045.1
ENSG00000229425,ENSG00000229425.3,ENST00000662630,ENST00000662630.1
ENSG00000229425,ENSG00000229425.3,ENST00000634659,ENST00000634659.1
ENSG00000229425,ENSG00000229425.3,ENST00000670882,ENST00000670882.1
ENSG00000229425,ENSG00000229425.3,ENST00000653886,ENST00000653886.1
